method,m,l2_penalty,image,per_pixel_error,latent_norm
fcvae-20,50,1.0,1,0.05989988957543507,2.7498979568481445
fcvae-20,50,1.0,2,0.01862477725505981,2.546478033065796
fcvae-20,50,1.0,3,0.008620757026396,2.8312065601348877
fcvae-20,50,1.0,4,0.0066106950414880645,2.029564619064331
fcvae-20,50,1.0,5,0.011906164744388931,2.6023311614990234
fcvae-20,50,1.0,6,0.02896121582260434,2.8934664726257324
fcvae-20,50,1.0,7,0.00414948148842409,1.7670462131500244
fcvae-20,50,1.0,8,0.018271943954784733,2.6463396549224854
fcvae-20,50,1.0,9,0.016569192820141285,2.4241044521331787
vae-20,75,0.0,0,0.002777967649882092,6.9828386306762695
vae-20,75,0.0,1,0.0134212508355241,11.498492240905762
vae-20,75,0.0,2,0.011800454493829502,8.549113273620605
vae-20,75,0.0,3,0.003321562641662227,8.753711700439453
vae-20,75,0.0,4,0.0026036927531191655,8.28439712524414
vae-20,75,0.0,5,0.009016029288480863,7.509463310241699
vae-20,75,0.0,6,0.01609962556391666,11.496269226074219
vae-20,75,0.0,7,0.002027937577123076,10.342334747314453
vae-20,75,0.0,8,0.009232350899245605,13.177460670471191
vae-20,75,0.0,9,0.004641279147603536,10.66502571105957
vae-20,75,0.01,0,0.003059152213419482,4.561732769012451
vae-20,75,0.01,1,0.013217917782709095,8.860066413879395
vae-20,75,0.01,2,0.011754150849487657,6.299346446990967
vae-20,75,0.01,3,0.0037009692221867956,5.023366928100586
vae-20,75,0.01,4,0.002799817479513419,4.439486026763916
vae-20,75,0.01,5,0.009377470658271369,6.138113021850586
vae-20,75,0.01,6,0.01612327695230151,7.81923246383667
vae-20,75,0.01,7,0.0022065048554009772,3.7937915325164795
vae-20,75,0.01,8,0.00871076501986985,10.147109031677246
vae-20,75,0.01,9,0.005020605759624242,6.267251491546631
vae-20,75,0.1,0,0.0032657597697247644,3.6191792488098145
vae-20,75,0.1,1,0.01458966715669653,5.90115213394165
vae-20,75,0.1,2,0.012486970135098214,4.104311466217041
vae-20,75,0.1,3,0.004376038359740449,3.7868764400482178
vae-20,75,0.1,4,0.0032165996003307266,2.604410171508789
vae-20,75,0.1,5,0.01088165952712755,3.503542184829712
vae-20,75,0.1,6,0.016087507618311653,4.139965534210205
vae-20,75,0.1,7,0.0026249483464444515,2.797435760498047
vae-20,75,0.1,8,0.009558497002653208,5.026039123535156
